MCoV-76912	23.3
MCoV-76826	24.3
MCoV-76776	26.6
MCoV-76851	27.4
MCoV-76817	29.6
MCoV-77068	38.9
MCoV-76861	15.2
MCoV-76960	19.3
MCoV-77730	23.1
MCoV-76977	24.4
MCoV-76928	25.4
MCoV-78352	27.6
MCoV-77733	31.5
MCoV-77653	32.5
MCoV-77654	32.7
MCoV-77082	33.6
MCoV-77080	34
MCoV-77729	34.8
MCoV-77035	38.1
MCoV-77004	39.7
MCoV-78095	12.9
MCoV-78302	16.5
MCoV-78034	19.7
MCoV-78286	23.1
MCoV-77853	26.8
MCoV-78144	32.7
MCoV-77921	33.1
MCoV-78033	34.3
MCoV-78113	36.9
MCoV-78085	40.3
MCoV-78083	40.8
MCoV-78818	17.8
MCoV-78827	18
MCoV-78454	20.3
MCoV-78967	24.9
MCoV-78760	25.1
MCoV-78112	27.3
MCoV-78734	27.4
MCoV-78489	28.8
MCoV-78772	31.9
MCoV-78713	33.8
MCoV-78759	34
MCoV-78774	35.2
MCoV-78825	35.9
MCoV-78828	37.7
MCoV-79323	16.1
MCoV-79564	18.1
MCoV-79483	19.3
MCoV-79511	21.8
MCoV-79325	22.9
MCoV-79217	32.2
MCoV-79500	33.2
MCoV-79304	35.7
MCoV-79336	35.8
MCoV-79321	36.6
MCoV-79322	37.1
MCoV-79305	37.5
MCoV-79990	16.5
MCoV-79864	20.5
MCoV-80189	23.3
MCoV-79833	23.6
MCoV-79930	27.7
MCoV-79960	31
MCoV-79874	31.9
MCoV-79880	32.3
MCoV-79820	35.6
MCoV-79966	37.5
MCoV-79792	43.5
MCoV-96032	38.1
MCoV-96062	33.5
MCoV-96235	20.3
MCoV-96429	44.4
MCoV-96432	37.8
MCoV-96405	41.8
MCoV-96506	14.8
MCoV-96634	18.2
MCoV-96630	43.3
MCoV-96617	29.6
MCoV-96731	42.9
MCoV-96740	43.5
MCoV-96751	32.7
MCoV-96968	37.1
MCoV-97061	24.6
MCoV-97013	19.5
MCoV-96986	34.3
MCoV-97040	24.9
MCoV-97153	23.5
MCoV-97083	18.6
MCoV-97097	22.4
MCoV-97132	29.4
MCoV-97173	38.9
MCoV-97185	21.6
MCoV-97200	28.1
MCoV-97425	30.4
MCoV-97452	14.5
MCoV-97508	20.8
MCoV-97485	21.8
MCoV-97388	23.7
MCoV-97526	15.6
MCoV-97477	17.3
MCoV-97601	30.5
MCoV-97476	37.2
MCoV-97539	17.3
MCoV-97468	20.3
MCoV-97460	28.9
MCoV-97436	33.1
MCoV-97800	17.3
MCoV-97798	19.4
MCoV-97771	30.4
MCoV-97748	37.7
MCoV-97744	16.2
MCoV-97755	20.9
MCoV-97890	15.2
MCoV-97913	31.2
MCoV-97948	35.8
MCoV-97947	12.4
MCoV-98048	37.2
MCoV-98130	17.4
MCoV-98348	28.8
MCoV-98463	36.7
MCoV-98554	21.3
MCoV-98751	17.3
MCoV-98739	15.2
MCoV-98709	18.7
MCoV-98861	20.2
MCoV-98703	23.1
MCoV-98749	15.5
MCoV-98711	18.1
MCoV-98778	25.1
MCoV-99328	17.1
MCoV-99204	33.7
MCoV-99213	14.7
MCoV-99294	16.2
MCoV-99228	18.4
MCoV-99315	22.5
MCoV-99206	25.3
MCoV-99284	32.7
MCoV-99603	13
MCoV-99565	18.1
MCoV-99691	21.8
MCoV-99625	29.1
MCoV-99561	39.7
MCoV-99610	20.5
MCoV-99639	29.1
MCoV-99544	29.4
MCoV-99568	16.3
MCoV-99605	22.7
MCoV-99629	23.1
MCoV-99551	27.2
MCoV-99633	30.5
MCoV-99595	36.6
MCoV-99907	39
MCoV-100161	14.8
MCoV-100579	12.7
MCoV-100445	13.5
MCoV-100461	21.8
MCoV-100502	22.2
MCoV-100459	22.6
MCoV-100448	23.2
MCoV-100452	25.1
MCoV-100428	26.1
MCoV-100650	14.1
MCoV-100686	21.2
MCoV-100683	21.3
